Código;Serviço;Data;Consignatário;Verba;Matrícula;Período;Prazo Total;Prazo restante;Valor da Parcela;Total Parcelas;Valor liberado;Carência / Primeiro Lançamento;Previsão de Termino;Natureza
135926;Empréstimo Consignado;10/05/2024;Caixa Econômica Federal;427;198601;Maio de 2024;144;133;1240,99;178702,56;86053,46;0 / Maio de 2024;Junho de 2036;Renegociação
133080;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;2541;Março de 2018;96;11;221,94;21306,24;0;0 / Março de 2018;Abril de 2026;Novo contrato
133092;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;3441;Março de 2018;96;47;42,43;4073,28;0;0 / Março de 2018;Abril de 2029;Novo contrato
133014;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;4011;Março de 2018;96;47;35,74;3431,04;0;0 / Março de 2018;Abril de 2029;Novo contrato
132895;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;3691;Julho de 2018;72;18;334,69;24097,68;0;0 / Julho de 2018;Novembro de 2026;Novo contrato
133253;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;6961;Agosto de 2018;96;16;656,65;63038,4;0;0 / Agosto de 2018;Setembro de 2026;Novo contrato
132957;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;9251;Agosto de 2019;84;16;364,26;30597,84;0;0 / Agosto de 2019;Setembro de 2026;Novo contrato
133180;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;2751;Setembro de 2019;96;31;57,95;5563,2;0;0 / Setembro de 2019;Dezembro de 2027;Novo contrato
133029;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;5351;Setembro de 2019;48;3;612,79;29413,92;0;0 / Setembro de 2019;Agosto de 2025;Novo contrato
133191;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;4011;Novembro de 2019;96;68;306,45;29419,2;0;0 / Novembro de 2019;Janeiro de 2031;Novo contrato
133186;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;11851;Novembro de 2019;96;31;913,93;87737,28;0;0 / Novembro de 2019;Dezembro de 2027;Novo contrato
133042;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7921;Maio de 2020;96;37;446;42816;0;0 / Maio de 2020;Junho de 2028;Novo contrato
133085;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;29502;Agosto de 2020;96;76;78,99;7583,04;0;0 / Agosto de 2020;Setembro de 2031;Novo contrato
132881;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;2581;Outubro de 2020;60;6;389,61;23376,6;0;0 / Outubro de 2020;Novembro de 2025;Novo contrato
132933;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;16052;Outubro de 2020;66;49;289,67;19118,22;0;0 / Outubro de 2020;Junho de 2029;Novo contrato
132936;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;3521;Novembro de 2020;96;47;627,7;60259,2;0;0 / Novembro de 2020;Abril de 2029;Novo contrato
133121;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7231;Novembro de 2020;96;43;226,93;21785,28;0;0 / Novembro de 2020;Dezembro de 2028;Novo contrato
133012;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;9401;Novembro de 2020;96;43;146,3;14044,8;0;0 / Novembro de 2020;Dezembro de 2028;Novo contrato
133060;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;211;Dezembro de 2020;72;20;151,65;10918,8;0;0 / Dezembro de 2020;Janeiro de 2027;Novo contrato
133119;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7811;Dezembro de 2020;84;32;265,04;22263,36;0;0 / Dezembro de 2020;Janeiro de 2028;Novo contrato
133078;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;25182;Dezembro de 2020;96;76;345,06;33125,76;0;0 / Dezembro de 2020;Setembro de 2031;Novo contrato
133215;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;29502;Dezembro de 2020;48;32;243,6;11692,8;0;0 / Dezembro de 2020;Janeiro de 2028;Novo contrato
132961;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7681;Janeiro de 2021;96;45;463,34;44480,64;0;0 / Janeiro de 2021;Fevereiro de 2029;Novo contrato
132826;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;29502;Janeiro de 2021;48;33;67,26;3228,48;0;0 / Janeiro de 2021;Fevereiro de 2028;Novo contrato
132883;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;155551;Fevereiro de 2021;35;19;143;5005;0;0 / Fevereiro de 2021;Dezembro de 2026;Novo contrato
132951;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;2441;Março de 2021;96;49;343,5;32976;0;0 / Março de 2021;Junho de 2029;Novo contrato
133024;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;4261;Março de 2021;96;47;433,89;41653,44;0;0 / Março de 2021;Abril de 2029;Novo contrato
132816;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7021;Março de 2021;72;23;175;12600;0;0 / Março de 2021;Abril de 2027;Novo contrato
132946;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;31151;Março de 2021;45;27;329,53;14828,85;0;0 / Março de 2021;Agosto de 2027;Novo contrato
132984;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;32711;Março de 2021;46;26;484,47;22285,62;0;0 / Março de 2021;Julho de 2027;Novo contrato
133131;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;66614;Março de 2021;50;38;421,51;21075,5;0;0 / Março de 2021;Julho de 2028;Novo contrato
132956;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;76763;Março de 2021;45;17;344,85;15518,25;0;0 / Março de 2021;Outubro de 2026;Novo contrato
133112;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;86218;Março de 2021;45;10;304,7;13711,5;0;0 / Março de 2021;Março de 2026;Novo contrato
132905;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;89743;Março de 2021;44;11;260,3;11453,2;0;0 / Março de 2021;Abril de 2026;Novo contrato
132970;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;158571;Março de 2021;45;25;304,63;13708,35;0;0 / Março de 2021;Junho de 2027;Novo contrato
133009;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7931;Abril de 2021;96;48;392,47;37677,12;0;0 / Abril de 2021;Maio de 2029;Novo contrato
133040;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;12732;Abril de 2021;44;25;305,25;13431;0;0 / Abril de 2021;Junho de 2027;Novo contrato
133066;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;17664;Abril de 2021;44;23;150;6600;0;0 / Abril de 2021;Abril de 2027;Novo contrato
132918;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;18763;Abril de 2021;44;21;300;13200;0;0 / Abril de 2021;Fevereiro de 2027;Novo contrato
133242;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;4011;Maio de 2021;96;85;119,69;11490,24;0;0 / Maio de 2021;Junho de 2032;Novo contrato
132988;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;4431;Maio de 2021;96;49;354,63;34044,48;0;0 / Maio de 2021;Junho de 2029;Novo contrato
133104;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;109361;Maio de 2021;44;10;1375,48;60521,12;0;0 / Maio de 2021;Março de 2026;Novo contrato
133175;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;158571;Maio de 2021;43;25;51,48;2213,64;0;0 / Maio de 2021;Junho de 2027;Novo contrato
133171;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;76763;Junho de 2021;42;17;150;6300;0;0 / Junho de 2021;Outubro de 2026;Novo contrato
133082;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;117112;Junho de 2021;43;21;384,18;16519,74;0;0 / Junho de 2021;Fevereiro de 2027;Novo contrato
132996;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;8031;Julho de 2021;96;51;361,44;34698,24;0;0 / Julho de 2021;Agosto de 2029;Novo contrato
132837;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;4341;Agosto de 2021;96;52;183,95;17659,2;0;0 / Agosto de 2021;Setembro de 2029;Novo contrato
133194;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;6861;Agosto de 2021;60;16;180;10800;0;0 / Agosto de 2021;Setembro de 2026;Novo contrato
133182;Empréstimo Consignado;16/02/2022;Banco Bradesco;424;7571;Agosto de 2021;96;52;23,56;2261,76;0;0 / Agosto de 2021;Setembro de 2029;Novo contrato
