Matrícula;Período;Tipo de Cargo:;Tipo de margem:;Margem Inicial;Margem atual;Disponível;Excedido;Faixa Percentual Comprometida
7541;Maio de 2025;Estatutario;Margem Consignável;670,2;0,54;0,08;0;99,92
4921;Maio de 2025;Estatutario;Margem Consignável;2758,2;643,98;23,35;0;76,65
13329;Maio de 2025;Comissionado;Margem Consignável;514,2;514,2;100;0;0
8101;Maio de 2025;Estatutario;Margem Consignável;2168,01;2168,01;100;0;0
8041;Maio de 2025;Estatutario;Margem Consignável;1182,13;1182,13;100;0;0
228701;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
9501;Maio de 2025;Estatutario;Margem Consignável;791,84;791,84;100;0;0
222761;Maio de 2025;Estatutario;Margem Consignável;1295,24;1295,24;100;0;0
2001;Maio de 2025;Estatutario;Margem Consignável;571,15;48,61;8,51;0;91,49
24702;Maio de 2025;Comissionado;Margem Consignável;491,45;491,45;100;0;0
205751;Maio de 2025;Estatutario;Margem Consignável;1244,61;94,61;7,6;0;92,4
8911;Maio de 2025;Estatutario;Margem Consignável;2136,29;395,5;18,51;0;81,49
193481;Maio de 2025;Estatutario;Margem Consignável;1244,61;1244,61;100;0;0
213851;Maio de 2025;Estatutario;Margem Consignável;1295,24;1295,24;100;0;0
78542;Maio de 2025;Comissionado;Margem Consignável;876,85;876,85;100;0;0
218811;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
11791;Maio de 2025;Estatutario;Margem Consignável;2030,84;1434,16;70,62;0;29,38
8991;Maio de 2025;Estatutario;Margem Consignável;2162,29;2162,29;100;0;0
85243;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
197391;Maio de 2025;Estatutario;Margem Consignável;1282,12;1282,12;100;0;0
5071;Maio de 2025;Estatutario;Margem Consignável;2476,57;2190,24;88,44;0;11,56
18291;Maio de 2025;Comissionado;Margem Consignável;530,67;530,67;100;0;0
6341;Maio de 2025;Estatutario;Margem Consignável;1141,14;137,81;12,08;0;87,92
7441;Maio de 2025;Estatutario;Margem Consignável;898,3;-79,96;0;8,9;108,9
7141;Maio de 2025;Estatutario;Margem Consignável;913,67;164,33;17,99;0;82,01
8271;Maio de 2025;Estatutario;Margem Consignável;1141,14;0,43;0,04;0;99,96
229931;Maio de 2025;Comissionado;Margem Consignável;530,67;530,67;100;0;0
213001;Maio de 2025;Estatutario;Margem Consignável;1194,71;-4,06;0;0,34;100,34
11221;Maio de 2025;Estatutario;Margem Consignável;901,81;-69,24;0;7,68;107,68
139781;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
58438;Maio de 2025;Comissionado;Margem Consignável;554,19;554,19;100;0;0
201171;Maio de 2025;Estatutario;Margem Consignável;1305,2;1305,2;100;0;0
17381;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
210161;Maio de 2025;Estatutario;Margem Consignável;1282,12;1282,12;100;0;0
145754;Maio de 2025;Comissionado;Margem Consignável;491,45;491,45;100;0;0
9611;Maio de 2025;Estatutario;Margem Consignável;510,27;510,27;100;0;0
210321;Maio de 2025;Estatutario;Margem Consignável;1362,78;1362,78;100;0;0
181631;Maio de 2025;Estatutario;Margem Consignável;830,37;-96,58;0;11,63;111,63
104132;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
5991;Maio de 2025;Estatutario;Margem Consignável;533,12;533,12;100;0;0
210751;Maio de 2025;Estatutario;Margem Consignável;1295,24;283,98;21,92;0;78,08
180581;Maio de 2025;Estatutario;Margem Consignável;1244,61;1244,61;100;0;0
235661;Maio de 2025;Comissionado;Margem Consignável;491,45;491,45;100;0;0
200601;Maio de 2025;Estatutario;Margem Consignável;1244,61;46,89;3,77;0;96,23
74122;Maio de 2025;Comissionado;Margem Consignável;844,29;844,29;100;0;0
9011;Maio de 2025;Estatutario;Margem Consignável;2353,29;1951,37;82,92;0;17,08
181802;Maio de 2025;Comissionado;Margem Consignável;491,45;491,45;100;0;0
76505;Maio de 2025;CONTRATO;Margem Consignável;514,2;514,2;100;0;0
94662;Maio de 2025;Comissionado;Margem Consignável;976,22;976,22;100;0;0
