Cod;Modalidade;Quitação;Verba;Consignatário;Matrícula;Período;Prazo;Valor;Renegociado;Controlado em Folha
131361;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7541;Fevereiro de 2022;0;79,74;Não;Não
131360;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7541;Fevereiro de 2022;0;400,35;Não;Não
132818;Empréstimo Consignado (120);27/04/2022;424;Banco Bradesco;7541;Maio de 2022;96;400,35;Não;Não
131989;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7541;Maio de 2022;0;12,12;Não;Sim
134052;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;7541;Junho de 2022;0;313,68;Sim;Não
134053;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;7541;Junho de 2022;0;57,48;Sim;Não
134338;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;7541;Junho de 2022;94;57,48;Não;Não
134337;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;7541;Junho de 2022;82;313,68;Não;Não
133934;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7541;Junho de 2022;0;12,12;Não;Sim
133124;Empréstimo Consignado (120);10/06/2022;424;Banco Bradesco;7541;Junho de 2022;96;79,74;Não;Não
135001;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7541;Julho de 2022;0;12,12;Não;Sim
135593;Empréstimo Consignado (120);12/02/2025;424;Banco Bradesco;7541;Março de 2025;120;22,37;Sim;Não
135834;Empréstimo Consignado (120);12/02/2025;424;Banco Bradesco;7541;Março de 2025;120;67,52;Sim;Não
135533;Empréstimo Consignado (120);12/02/2025;424;Banco Bradesco;7541;Março de 2025;96;78,96;Sim;Não
135201;Empréstimo Consignado (120);12/02/2025;424;Banco Bradesco;7541;Março de 2025;96;82,24;Sim;Não
131491;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;4921;Fevereiro de 2022;0;1121,96;Não;Não
131255;Plano Odontológico;09/05/2022;999;Dental Med Center;4921;Maio de 2022;0;38,09;Não;Sim
132060;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;4921;Maio de 2022;0;42,8;Não;Sim
134113;Plano Odontológico;03/06/2022;999;Dental Med Center;4921;Junho de 2022;0;38,09;Não;Sim
133863;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;4921;Junho de 2022;0;57,03;Não;Sim
134852;Plano Odontológico;07/07/2022;999;Dental Med Center;4921;Julho de 2022;0;38,09;Não;Sim
134851;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;4921;Julho de 2022;0;57,03;Não;Sim
135603;Empréstimo Consignado (120);27/11/2023;424;Banco Bradesco;4921;Dezembro de 2023;96;541,59;Sim;Não
135425;Empréstimo Consignado (120);27/11/2023;424;Banco Bradesco;4921;Dezembro de 2023;120;496,8;Sim;Não
132819;Empréstimo Consignado (120);27/11/2023;424;Banco Bradesco;4921;Dezembro de 2023;96;1121,96;Sim;Não
131975;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;8101;Maio de 2022;0;39,58;Não;Sim
133949;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;8101;Junho de 2022;0;52,73;Não;Sim
135030;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;8101;Julho de 2022;0;52,73;Não;Sim
131603;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;2001;Fevereiro de 2022;0;326,31;Não;Não
131602;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;2001;Fevereiro de 2022;0;231,03;Não;Não
132820;Empréstimo Consignado (120);03/05/2023;424;Banco Bradesco;2001;Maio de 2023;84;231,03;Sim;Não
133125;Empréstimo Consignado (120);03/05/2023;424;Banco Bradesco;2001;Maio de 2023;84;326,31;Não;Não
135566;Empréstimo Consignado (120);03/06/2024;424;Banco Bradesco;2001;Junho de 2024;84;164,46;Sim;Não
135567;Empréstimo Consignado (120);03/06/2024;424;Banco Bradesco;2001;Junho de 2024;84;293,5;Sim;Não
131687;Empréstimo Consignado (Especial);14/02/2022;404;Banco do Brasil;8911;Fevereiro de 2022;0;1181,47;Não;Não
131643;Plano Odontológico;09/05/2022;405;PREVDENTE;8911;Maio de 2022;0;26;Não;Sim
135047;Plano Odontológico;07/07/2022;405;PREVDENTE;8911;Julho de 2022;0;26;Não;Sim
